Time,Current
19:29:35,635.5
19:29:36,656.1
19:29:37,640.6
19:29:38,668.7
19:29:39,562.6
19:29:40,611.0
19:29:41,606.7
19:29:42,551.6
19:29:43,625.2
19:29:44,544.0
19:29:45,541.5
19:29:46,617.5
19:29:47,626.3
19:29:48,645.7
19:29:49,561.9
19:29:50,585.9
19:29:51,628.5
19:29:52,700.8
19:29:53,508.3
19:29:54,526.2
19:29:55,526.5
19:29:56,458.1
19:29:57,437.8
19:29:58,497.7
19:29:59,620.2
19:30:00,436.8
19:30:01,437.9
19:30:02,624.3
19:30:03,494.8
19:30:04,437.7
19:30:05,452.0
19:30:06,552.6
19:30:07,581.1
19:30:08,518.6
19:30:09,529.6
19:30:10,591.7
19:30:11,582.6
19:30:12,624.9
19:30:13,648.5
19:30:14,644.7
19:30:15,654.1
19:30:16,601.0
19:30:17,607.9
19:30:18,562.8
19:30:19,492.3
19:30:20,487.2
19:30:21,538.4
19:30:22,560.9
19:30:23,561.0
19:30:24,559.9
19:30:25,558.4
19:30:26,559.8
19:30:27,493.1
19:30:28,504.4
19:30:29,591.0
19:30:30,530.2
19:30:31,542.1
19:30:32,546.9
19:30:33,523.8
19:30:34,498.2
19:30:35,442.5
19:30:36,532.5
19:30:37,620.7
19:30:38,455.4
19:30:39,456.7
19:30:40,544.5
19:30:41,444.0
19:30:42,437.3
19:30:43,498.7
19:30:44,485.2
19:30:45,481.4
19:30:46,437.5
19:30:47,510.2
19:30:48,498.7
19:30:49,439.2
19:30:50,443.0
19:30:51,566.3
19:30:52,515.8
19:30:53,458.5
19:30:54,458.6
19:30:55,570.4
19:30:56,485.3
19:30:57,437.3
19:30:58,430.4
19:30:59,546.6
19:31:00,440.1
19:31:01,438.5
19:31:02,505.2
19:31:03,634.6
19:31:04,457.7
19:31:05,456.9
19:31:06,665.1
19:31:07,518.0
19:31:08,435.0
19:31:09,435.2
19:31:10,487.3
19:31:11,435.4
19:31:12,440.3
19:31:13,553.6
19:31:14,550.4
19:31:15,442.5
19:31:16,460.9
19:31:17,560.6
19:31:18,514.3
19:31:19,458.0
19:31:20,457.3
19:31:21,540.1
19:31:22,504.5
19:31:23,433.0
19:31:24,437.0
19:31:25,491.2
19:31:26,493.7
19:31:27,442.4
19:31:28,451.6
19:31:29,542.2
19:31:30,521.2
19:31:31,455.6
19:31:32,454.9
19:31:33,514.2
19:31:34,513.1
19:31:35,450.1
19:31:36,447.5
19:31:37,489.0
19:31:38,543.4
19:31:39,436.3
19:31:40,451.7
19:31:41,621.7
19:31:42,442.4
19:31:43,459.3
19:31:44,498.1
19:31:45,505.4
19:31:46,456.1
19:31:47,457.1
19:31:48,520.2
19:31:49,484.9
19:31:50,436.7
19:31:51,447.9
19:31:52,540.7
19:31:53,529.2
19:31:54,446.1
19:31:55,469.5
19:31:56,495.4
19:31:57,593.1
19:31:58,519.0
19:31:59,526.2
19:32:00,573.2
19:32:01,595.6
19:32:02,529.6
19:32:03,561.2
19:32:04,584.8
19:32:05,663.6
19:32:06,613.9
19:32:07,643.7
19:32:08,640.3
19:32:09,726.0
19:32:10,571.2
19:32:11,505.2
19:32:12,601.9
19:32:13,593.4
19:32:14,546.9
19:32:15,570.6
19:32:16,535.1
19:32:17,592.6
19:32:18,504.4
19:32:19,552.8
19:32:21,534.3
19:32:21,600.7
19:32:22,554.5
19:32:23,732.5
19:32:24,693.7
19:32:25,688.7
19:32:26,554.6
19:32:27,630.1
19:32:28,671.2
19:32:29,697.5
19:32:31,603.9
19:32:31,723.4
19:32:32,637.1
19:32:34,719.6
19:32:34,592.6
19:32:36,603.9
19:32:36,632.1
19:32:38,587.2
19:32:38,536.3
19:32:40,617.1
19:32:41,484.3
19:32:42,544.3
19:32:42,467.5
19:32:44,530.3
19:32:44,537.7
19:32:46,565.7
19:32:46,437.9
19:32:48,528.9
19:32:48,485.3
19:32:50,546.6
19:32:51,450.5
19:32:52,509.5
19:32:53,501.8
19:32:54,578.5
19:32:55,456.6
19:32:56,548.2
19:32:57,559.5
19:32:58,536.7
19:32:59,476.5
19:33:00,524.1
19:33:01,495.0
19:33:02,486.8
19:33:03,446.8
19:33:04,568.9
19:33:05,506.3
19:33:06,512.4
19:33:07,458.0
19:33:08,646.3
19:33:09,491.7
19:33:10,499.9
19:33:11,430.8
19:33:12,691.5
19:33:13,502.3
19:33:14,486.2
19:33:15,453.0
19:33:16,789.0
19:33:17,507.7
19:33:18,521.9
19:33:19,438.3
19:33:20,762.9
19:33:21,498.2
19:33:22,488.3
19:33:23,460.1
19:33:24,562.5
19:33:25,496.0
19:33:26,498.2
19:33:27,525.0
19:33:28,647.2
19:33:29,460.5
19:33:30,750.9
19:33:31,489.3
19:33:32,483.0
19:33:33,434.5
19:33:34,652.8
19:33:35,497.8
19:33:36,486.8
19:33:37,468.3
19:33:38,564.9
19:33:39,510.1
19:33:40,513.4
19:33:41,447.8
19:33:42,550.2
19:33:43,525.2
19:33:44,494.1
19:33:45,455.7
19:33:46,877.9
19:33:47,492.9
19:33:48,508.1
19:33:49,456.9
19:33:50,582.4
19:33:51,456.9
19:33:52,501.3
19:33:53,683.0
19:33:54,538.9
19:33:55,439.9
19:33:56,645.9
19:33:57,549.6
19:33:58,604.6
19:33:59,454.7
19:34:00,529.2
19:34:01,570.4
19:34:02,657.0
19:34:03,519.7
19:34:04,607.9
19:34:05,538.8
19:34:06,548.1
19:34:07,545.3
19:34:08,611.1
19:34:09,647.7
19:34:10,718.4
19:34:11,652.4
19:34:12,700.8
19:34:13,679.6
19:34:14,686.6
19:34:15,528.6
19:34:16,659.1
19:34:17,536.0
19:34:18,753.1
19:34:19,648.8
19:34:20,675.9
19:34:21,763.3
19:34:22,631.7
19:34:23,500.8
19:34:24,557.8
19:34:25,647.7
19:34:26,671.7
19:34:27,606.7
19:34:28,656.2
19:34:29,613.6
19:34:30,689.7
19:34:31,610.2
19:34:32,753.6
19:34:33,644.3
19:34:34,689.6
19:34:35,709.3
19:34:36,699.6
19:34:37,549.2
19:34:38,615.9
19:34:39,472.3
19:34:40,656.4
19:34:41,539.7
19:34:42,679.7
19:34:43,631.0
19:34:44,698.0
19:34:45,526.6
19:34:46,566.1
19:34:47,439.4
19:34:48,622.1
19:34:49,480.0
19:34:50,540.8
19:34:51,458.9
19:34:52,640.7
19:34:53,496.5
19:34:54,566.9
19:34:55,454.4
19:34:56,654.0
19:34:57,512.4
19:34:58,538.2
19:34:59,447.5
19:35:00,615.8
19:35:01,494.7
19:35:02,492.6
19:35:03,439.1
19:35:04,627.4
19:35:05,510.8
19:35:06,505.9
19:35:07,497.5
19:35:08,566.1
19:35:09,488.9
19:35:10,489.3
19:35:11,475.6
19:35:12,555.0
19:35:13,511.8
19:35:14,492.8
19:35:15,452.2
19:35:16,570.3
19:35:17,505.5
19:35:18,511.4
19:35:19,457.4
19:35:20,552.6
19:35:21,492.4
19:35:22,477.3
19:35:23,445.8
19:35:24,546.6
19:35:25,493.1
19:35:26,486.6
19:35:27,451.8
19:35:28,563.9
19:35:29,511.6
19:35:30,504.9
19:35:31,458.4
19:35:32,554.0
19:35:33,481.5
19:35:34,482.4
19:35:35,450.7
19:35:36,551.2
19:35:37,484.7
19:35:38,503.0
19:35:39,454.1
19:35:40,590.4
19:35:41,456.3
19:35:42,517.7
19:35:43,619.1
19:35:44,544.0
19:35:45,430.7
19:35:46,471.0
19:35:47,524.5
19:35:48,601.5
19:35:49,439.7
19:35:50,490.5
19:35:51,552.9
19:35:52,563.8
19:35:53,519.8
19:35:54,505.3
19:35:55,484.4
19:35:56,555.3
19:35:57,433.4
19:35:58,476.0
19:35:59,491.6
19:36:00,560.0
19:36:01,501.3
19:36:02,557.3
19:36:03,616.8
19:36:04,628.4
19:36:05,608.3
19:36:06,677.7
19:36:07,742.8
19:36:08,759.0
19:36:09,612.2
19:36:10,582.2
19:36:11,482.3
19:36:12,474.2
19:36:13,501.4
19:36:14,590.4
19:36:15,547.4
19:36:16,485.1
19:36:17,467.5
19:36:18,560.6
19:36:19,575.5
19:36:20,547.8
19:36:21,438.1
19:36:22,551.2
19:36:23,537.9
19:36:24,538.2
19:36:25,486.1
19:36:26,547.8
19:36:27,489.4
19:36:28,544.6
19:36:29,507.8
19:36:30,568.9
19:36:31,512.6
19:36:32,564.0
19:36:33,516.6
19:36:34,590.3
19:36:35,491.4
19:36:36,480.3
19:36:37,480.3
19:36:38,599.1
19:36:39,544.9
19:36:40,488.6
19:36:41,444.6
19:36:42,578.2
19:36:43,566.3
19:36:44,575.9
19:36:45,447.9
19:36:46,512.9
19:36:47,556.8
19:36:48,545.8
19:36:49,543.4
19:36:50,635.2
19:36:51,555.1
19:36:52,604.2
19:36:53,600.1
19:36:54,748.6
19:36:55,638.0
19:36:56,666.6
19:36:57,703.9
19:36:58,762.3
19:36:59,711.4
19:37:00,805.9
